Time[s], Channel 0, Channel 1
0.34303678, 1, 1
0.34304182, 0, 1
0.34304686, 1, 1
0.34305190, 0, 1
0.34305694, 1, 1
0.34306198, 0, 1
0.34306702, 1, 1
0.34307206, 0, 1
0.34307710, 1, 1
0.34308214, 0, 1
0.34308720, 1, 1
0.34309222, 0, 1
0.34309728, 1, 1
0.34310230, 0, 1
0.34310736, 1, 1
0.34311238, 0, 1
0.34311744, 1, 1
0.34312246, 0, 1
0.34312498, 0, 0
0.34312752, 1, 0
0.34313004, 1, 1
0.34313254, 0, 1
0.35464164, 1, 1
0.35464414, 1, 0
0.35464666, 0, 0
0.35464920, 0, 1
0.35465172, 1, 1
0.35465676, 0, 1
0.35465926, 0, 0
0.35466180, 1, 0
0.35466684, 0, 0
0.35466936, 0, 1
0.35467188, 1, 1
0.35467692, 0, 1
0.35467944, 0, 0
0.35468196, 1, 0
0.35468700, 0, 0
0.35469204, 1, 0
0.35469708, 0, 0
0.35469960, 0, 1
0.35470212, 1, 1
0.35470716, 0, 1
0.35470968, 0, 0
0.35471220, 1, 0
0.35471724, 0, 0
0.35472228, 1, 0
0.35472732, 0, 0
0.35473236, 1, 0
0.35473740, 0, 0
0.35474244, 1, 0
0.35474748, 0, 0
0.35475252, 1, 0
0.35475756, 0, 0
0.35476260, 1, 0
0.35476764, 0, 0
0.35477268, 1, 0
0.35477772, 0, 0
0.35478276, 1, 0
0.35478780, 0, 0
0.35479284, 1, 0
0.35479788, 0, 0
0.35480292, 1, 0
0.35480796, 0, 0
0.35481300, 1, 0
0.35481804, 0, 0
0.35482308, 1, 0
0.35482812, 0, 0
0.35482872, 0, 1
0.35483064, 0, 0
0.35483316, 1, 0
0.35483568, 1, 1
0.35483820, 0, 1
0.35547830, 1, 1
0.35548080, 1, 0
0.35548332, 0, 0
0.35548584, 0, 1
0.35548838, 1, 1
0.35549340, 0, 1
0.35549592, 0, 0
0.35549844, 1, 0
0.35550348, 0, 0
0.35550600, 0, 1
0.35550854, 1, 1
0.35551356, 0, 1
0.35551608, 0, 0
0.35551862, 1, 0
0.35552364, 0, 0
0.35552870, 1, 0
0.35553372, 0, 0
0.35553624, 0, 1
0.35553878, 1, 1
0.35554380, 0, 1
0.35554632, 0, 0
0.35554886, 1, 0
0.35555388, 0, 0
0.35555642, 0, 1
0.35555894, 1, 1
0.35556396, 0, 1
0.35556648, 0, 0
0.35556902, 1, 0
0.35557404, 0, 0
0.35557912, 1, 0
0.35558412, 0, 0
0.35558918, 1, 0
0.35558936, 1, 1
0.35559422, 0, 1
0.35559926, 1, 1
0.35560430, 0, 1
0.35560934, 1, 1
0.35561438, 0, 1
0.35561942, 1, 1
0.35562446, 0, 1
0.35562950, 1, 1
0.35563454, 0, 1
0.35563958, 1, 1
0.35564462, 0, 1
0.35564966, 1, 1
0.35565470, 0, 1
0.35565722, 0, 0
0.35565974, 1, 0
0.35566478, 0, 0
0.35566500, 0, 1
0.35566982, 1, 1
0.35567486, 0, 1
0.35567990, 1, 1
0.35568494, 0, 1
0.35568998, 1, 1
0.35569502, 0, 1
0.35570006, 1, 1
0.35570510, 0, 1
0.35571014, 1, 1
0.35571518, 0, 1
0.35572022, 1, 1
0.35572526, 0, 1
0.35573030, 1, 1
0.35573534, 0, 1
0.35574038, 1, 1
0.35574542, 0, 1
0.35574794, 0, 0
0.35575046, 1, 0
0.35575550, 0, 0
0.35575572, 0, 1
0.35576054, 1, 1
0.35576558, 0, 1
0.35577062, 1, 1
0.35577566, 0, 1
0.35578070, 1, 1
0.35578574, 0, 1
0.35579078, 1, 1
0.35579582, 0, 1
0.35580086, 1, 1
0.35580590, 0, 1
0.35581094, 1, 1
0.35581598, 0, 1
0.35582102, 1, 1
0.35582606, 0, 1
0.35583110, 1, 1
0.35583614, 0, 1
0.35583866, 0, 0
0.35584118, 1, 0
0.35584622, 0, 0
0.35584644, 0, 1
0.35585126, 1, 1
0.35585630, 0, 1
0.35586134, 1, 1
0.35586638, 0, 1
0.35587142, 1, 1
0.35587646, 0, 1
0.35588150, 1, 1
0.35588654, 0, 1
0.35589158, 1, 1
0.35589662, 0, 1
0.35590166, 1, 1
0.35590670, 0, 1
0.35591174, 1, 1
0.35591678, 0, 1
0.35592182, 1, 1
0.35592686, 0, 1
0.35592938, 0, 0
0.35593190, 1, 0
0.35593694, 0, 0
0.35593716, 0, 1
0.35594198, 1, 1
0.35594702, 0, 1
0.35595206, 1, 1
0.35595710, 0, 1
0.35596214, 1, 1
0.35596718, 0, 1
0.35597222, 1, 1
0.35597726, 0, 1
0.35598230, 1, 1
0.35598734, 0, 1
0.35599238, 1, 1
0.35599742, 0, 1
0.35600246, 1, 1
0.35600750, 0, 1
0.35601254, 1, 1
0.35601758, 0, 1
0.35602010, 0, 0
0.35602262, 1, 0
0.35602766, 0, 0
0.35602788, 0, 1
0.35603270, 1, 1
0.35603774, 0, 1
0.35604278, 1, 1
0.35604782, 0, 1
0.35605286, 1, 1
0.35605790, 0, 1
0.35606294, 1, 1
0.35606798, 0, 1
0.35607302, 1, 1
0.35607806, 0, 1
0.35608310, 1, 1
0.35608814, 0, 1
0.35609318, 1, 1
0.35609822, 0, 1
0.35610326, 1, 1
0.35610830, 0, 1
0.35611334, 1, 1
0.35611838, 0, 1
0.35612090, 0, 0
0.35612342, 1, 0
0.35612594, 1, 1
0.35612846, 0, 1
0.35676856, 1, 1
0.35677108, 1, 0
0.35677360, 0, 0
0.35677612, 0, 1
0.35677864, 1, 1
0.35678368, 0, 1
0.35678620, 0, 0
0.35678872, 1, 0
0.35679376, 0, 0
0.35679628, 0, 1
0.35679880, 1, 1
0.35680384, 0, 1
0.35680636, 0, 0
0.35680888, 1, 0
0.35681392, 0, 0
0.35681896, 1, 0
0.35682400, 0, 0
0.35682652, 0, 1
0.35682904, 1, 1
0.35683408, 0, 1
0.35683660, 0, 0
0.35683912, 1, 0
0.35684416, 0, 0
0.35684668, 0, 1
